xtb_force,mace_r0_force,mace_r1_force
0.01263107,0.013307045,0.014533088
0.00436903,0.003549156,0.0038819883
0.02350355,0.025713682,0.026194325
-0.05226481,-0.052136164,-0.050434098
-0.01350112,-0.014141646,-0.013672852
0.02176859,0.025639748,0.02615934
0.05358857,0.051832754,0.05027011
0.01302901,0.01457598,0.014224845
-0.01949958,-0.025503973,-0.025299134
-0.00695848,-0.01223274,-0.013211678
-0.00609009,-0.0034581374,-0.00478311
0.00874503,0.0011838513,0.0012040198
-0.03244032,-0.03899945,-0.04046615
-0.01341021,-0.013183519,-0.014167499
-0.01566044,-0.022092223,-0.022364795
0.52103564,0.516265,0.52371126
0.12521817,0.12771732,0.13100366
-0.00237988,0.0039269147,0.0039518364
-0.02072129,-0.028867424,-0.030285934
-0.01018538,-0.011345424,-0.012229952
2.58679663,2.6041143,2.5938084
-0.10464623,-0.112920225,-0.11625872
0.36801943,0.33636293,0.34329787
1.96876263,1.9760453,1.987432
2.11074814,2.1303434,2.1234798
-0.25412051,-0.24690534,-0.24507822
-4.39345639,-4.4351983,-4.4309
3.36462228,3.3036225,3.3176663
-0.26061125,-0.28081653,-0.282769
-1.1476465,-1.2066911,-1.2071686
-6.47851172,-6.4944406,-6.507914
0.12669943,0.1127943,0.11657306
6.00247509,6.0207725,6.0247245
0.7187823,0.750727,0.7499092
-0.07859465,-0.10141608,-0.09539928
-2.31404518,-2.292638,-2.2795155
4.61600766,4.631993,4.6209283
-0.06903991,-0.031670514,-0.035023678
-2.92019875,-2.9584792,-2.9589326
-2.41744676,-2.4300077,-2.4273183
-0.46697724,-0.45826614,-0.46108606
-0.73058697,-0.7929577,-0.76211214
1.86912937,1.915563,1.9092563
0.49425475,0.5279196,0.5118763
7.4692265,7.4938087,7.475532
-4.98940364,-4.9836435,-4.9868217
-0.04803585,-0.09945258,-0.08618826
0.66958027,0.6791516,0.68373007
1.46555502,1.5193114,1.5151211
0.46286584,0.47310162,0.47315326
1.81018302,1.7790127,1.77837
-2.14676561,-2.1291,-2.1458194
-0.20337408,-0.15133537,-0.16823113
-0.3435319,-0.36166063,-0.35633352
-1.92692517,-1.9538168,-1.9436417
0.11526904,0.10776726,0.10660396
-0.17364011,-0.13568248,-0.1456063
2.45340619,2.4636543,2.4655778
0.00194258,0.031533826,0.030150881
-1.47581009,-1.4716724,-1.4671813
-0.21547695,-0.20222272,-0.20751466
0.04874084,0.056838244,0.060182232
-0.03397599,-0.044278532,-0.0447018
-1.24179822,-1.2734896,-1.2611215
0.07227069,0.058602717,0.060119063
0.54739206,0.5438871,0.55142003
-0.06113048,-0.03410159,-0.037311178
0.11063007,0.09654114,0.10158822
-0.90710076,-0.9163967,-0.9141477
1.32211816,1.2749481,1.2910441
-0.16907925,-0.17554884,-0.16831906
-0.0297735,-0.0628282,-0.05405264
-0.1595574,-0.16013928,-0.15722169
0.03974057,0.060568113,0.061507225
-10.16579306,-10.184621,-10.186844
3.00005043,3.060991,3.0487573
0.06459405,0.08731085,0.078672014
3.81071859,3.8437302,3.8266182
-2.50022226,-2.542388,-2.5261335
0.071057,0.041553,0.042617645
-2.28203913,-2.2597008,-2.255972
-4.13699423,-4.15249,-4.1671834
0.59172015,0.54241127,0.54254955
-3.91294526,-3.9069278,-3.9176226
7.0379211,7.052583,7.0401683
-1.78366079,-1.7481219,-1.7599632
0.36066393,0.40584123,0.41605458
-5.24182473,-5.2543435,-5.249596
1.23894547,1.2351524,1.2285068
2.43923742,2.440891,2.4256656
